,index,Gene_name,MIM_id,MIM_phenotype_id,MIM_disease,Orphanet_disorder,Orphanet_association_type,Trait_association(GWAS),Interactions(ConsensusPathDB)_rankscore,gnomAD_pLI_rankscore,GDI_rankscore,LoFtool_score_rankscore
329,1941,AUH,600529,250950;,[MIM:250950]3-methylglutaconic aciduria 1 [recessive?];,3-methylglutaconic aciduria type 1,Disease-causing germline mutation(s) (loss of function) in,Inflammatory bowel disease[28067908];Response to Homoharringtonine (cytotoxicity)[25628645];Sum eosinophil basophil counts[27863252];Eosinophil percentage of granulocytes[27863252];Total bilirubin levels[29403010];Eosinophil counts[27863252];Type 2 diabetes nephropathy[21150874];Bipolar disorder (inflammation and infection response interaction)[25781172];,0.16220858895705523,0.30092831356369265,0.7658574784651527,0.15316144874155924
330,1946,AURKAIP1,609183,,,Acromegaly;Prolactinoma;Familial isolated pituitary adenoma;Silent pituitary adenoma;Null pituitary adenoma,Major susceptibility factor in;Major susceptibility factor in;Disease-causing germline mutation(s) in;Major susceptibility factor in;Major susceptibility factor in,Inflammatory bowel disease[28067908];Ulcerative colitis[28067908];Intraocular pressure[29617998;29617998];,0.7469938650306749,0.27565755544094894,0.5030018271991648,0.16313689379987723
331,1951,AURKC,603495,243060;,[MIM:243060]Spermatogenic failure 5;,Male infertility due to large-headed multiflagellar polyploid spermatozoa,Disease-causing germline mutation(s) (loss of function) in,,0.3889570552147239,0.5428055698813822,0.8666144609762464,0.07565991405770411
332,1953,AUTS2,607270,615834;,"[MIM:615834]Mental retardation, autosomal dominant 26 [dominant?];",Autism spectrum disorder due to AUTS2 deficiency;Precursor B-cell acute lymphoblastic leukemia,Disease-causing germline mutation(s) in;Part of a fusion gene in,QT interval[29213071];Response to serotonin reuptake inhibitors in non-psychotic unipolar depression[26348319];Amyotrophic lateral sclerosis (sporadic)[24529757];Hand grip strength[29691431;29691431];Bipolar disorder[22925353];General cognitive ability[29844566;29844566];Photic sneeze reflex[27182965];Alcohol consumption[21471458];Childhood ear infection[27182965;28928442];Body mass index[25673413;28892062;28892062];Immune reponse to smallpox (secreted IL-2)[22610502];Male-pattern baldness[22693459;27182965;29146897;29146897];Mosquito bite size[28199695];Monobrow[27182965];Motion sickness[25628336;25628336];Obesity-related traits[23251661];Cognitive decline (age-related)[28078323];,0.703558282208589,0.8171738009283136,0.44296528321587053,0.5240945365254758
333,1957,AVP,192340,125700;,"[MIM:125700]Diabetes insipidus, neurohypophyseal;",Hereditary central diabetes insipidus,Disease-causing germline mutation(s) (loss of function) in,Oral cavity and pharyngeal cancer[21437268];,0.3492024539877301,0.5430634347601857,0.7799530148786218,0.0
334,1961,AVPR2,300538,300539;304800;,"[MIM:304800]Diabetes insipidus, nephrogenic, X-linked;",Nephrogenic diabetes insipidus;Nephrogenic syndrome of inappropriate antidiuresis,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (gain of function) in,,0.2947239263803681,0.6975244971634863,0.4899504045941008,0.7848373235113567
335,1966,AXIN1,603816,114550;607864;,[MIM:114550]Hepatocellular carcinoma;[MIM:607864]Caudal duplication anomaly;,Adult hepatocellular carcinoma,Disease-causing somatic mutation(s) in,Body mass index[25673413;25673413;25673413];Mean corpuscular hemoglobin concentration[27863252;27863252];Bone mineral density (spine)[26733130;26733130];Mean corpuscular hemoglobin[27863252;27863252];Mean corpuscular volume[27863252;27863252];Heel bone mineral density[28869591;28869591;28869591];Bone mineral density[22504420];Red blood cell count[27863252];Femoral neck bone mineral density[29499414];Red cell distribution width[27863252];Lumbar spine bone mineral density[29499414];,0.765521472392638,0.5670448684889118,0.474288697468024,0.6895334561080417
336,1967,AXIN2,604025,114500;608615;,[MIM:114500]Colorectal cancer;[MIM:608615]Oligodontia-colorectal cancer syndrome;,Oligodontia-cancer predisposition syndrome;AXIN2-related attenuated familial adenomatous polyposis;Oligodontia,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Heel bone mineral density[28869591;28869591;28869591];,0.5822085889570552,0.8478597215059309,0.1816758026624902,0.6190914671577655
337,1979,B2M,109700,105200;241600;,[MIM:241600]Immunodeficiency 43;[MIM:105200]Amyloidosis 8;,Variant ABeta2M amyloidosis;Immunodeficiency by defective expression of HLA class 1,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,,0.7152147239263804,0.6815368746776689,0.0,0.0
338,1983,B3GALNT2,610194,615181;,[MIM:615181]Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A11 [recessive?];,Muscle-eye-brain disease;Walker-Warburg syndrome;Autosomal recessive non-syndromic intellectual disability,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in,Body mass index[28892062];,0.23865030674846627,0.17483238782877772,0.5954058992430175,0.11678944137507673
339,1990,B3GALT6,615291,271640;615349;,"[MIM:271640]Spondyloepimetaphyseal dysplasia with joint laxity, 1, with or without fractures;","Ehlers-Danlos syndrome, progeroid type;Spondyloepimetaphyseal dysplasia with joint laxity",Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in,Blood protein levels[30072576];,0.16220858895705523,0.4791129448169159,0.3155833985904464,0.0
340,1993,B3GAT3,606374,245600;,"[MIM:245600]Multiple joint dislocations, short stature, and craniofacial dysmorphism with or without congenital heart defects [recessive?];","Larsen-like syndrome, B3GAT3 type",Disease-causing germline mutation(s) in,Blood protein levels[29875488;30072576;30072576];Waist-to-hip ratio adjusted for BMI[26426971;26426971];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971;26426971];,0.32380368098159507,0.2929345023207839,0.7042547637692509,0.2826887661141805
341,1995,B3GLCT,610308,261540;,,Peters plus syndrome,Disease-causing germline mutation(s) in,Advanced age-related macular degeneration[26691988];Age-related macular degeneration[23455636];Blood protein levels[30072576];,0.623680981595092,0.040226921093347086,0.0,0.0
342,2009,B4GALNT1,601873,609195;,"[MIM:609195]Spastic paraplegia 26, autosomal recessive [recessive?];",Autosomal recessive spastic paraplegia type 26,Disease-causing germline mutation(s) in,,0.14576687116564419,0.34657039711191334,0.24588880187940484,0.3683241252302026
343,2014,B4GALT1,137060,607091;,[MIM:607091]Congenital disorder of glycosylation 2D;,B4GALT1-CDG,Disease-causing germline mutation(s) in,Mild influenza (H1N1) infection[26379185];IgG glycosylation[23382691;23382691;23382691;23382691;23382691;23382691];Urate levels[23263486];IgG galactosylation phenotypes (multivariate analysis)[28878392];Severe influenza A (H1N1) infection[26379185];IgG fucosylation phenotypes (multivariate analysis)[28878392];IgG N-glycosylation phenotypes (multivariate analysis)[28878392];Aspartate aminotransferase levels[29403010];Blood protein levels[29875488;30072576];Influenza A (H1N1) infection[26379185];,0.5930061349693252,0.5417741103661682,0.7582876533542157,0.648096992019644
344,2022,B4GALT7,604327,130070;,,"Reunion Island Larsen-like syndrome;Ehlers-Danlos syndrome, progeroid type",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Methadone dose in opioid dependence[28115739];Waist-to-hip ratio adjusted for BMI (age <50)[26426971];Blood protein levels[30072576];Waist-to-hip ratio adjusted for BMI[26426971];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971];,0.6500613496932516,0.7124806601340897,0.7546332550247977,0.43155310006138736
345,2023,B4GAT1,605517,615287;,,Walker-Warburg syndrome,Disease-causing germline mutation(s) (loss of function) in,Bipolar disorder[21926972];,0.4298159509202454,0.1405363589479113,0.0,0.0
346,2024,B9D1,614144,614209;617120;,[MIM:614209]Meckel syndrome 9;[MIM:617120]Joubert syndrome 27 [recessive?];,Meckel syndrome;Joubert syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.7685889570552147,0.4700876740587932,0.12685982772122162,0.31952117863720075
347,2025,B9D2,611951,614175;,[MIM:614175]Meckel syndrome 10;[MIM:614175]Joubert syndrome 34 [recessive?];,Meckel syndrome,Disease-causing germline mutation(s) in,Colorectal cancer[24836286];Coronary artery disease[29212778;29212778;29212778];Preterm birth (maternal effect)[28877031];,0.689079754601227,0.26482723053120166,0.8966327329678935,0.3021792510742787
348,2029,BAAT,602938,607748;,,Familial hypercholanemia,Disease-causing germline mutation(s) in,,0.33226993865030674,0.16554925219185146,0.7729052466718872,0.11955187231430325
349,2045,BAG3,603883,612954;613881;,"[MIM:612954]Myopathy, myofibrillar, 6;[MIM:613881]Cardiomyopathy, dilated 1HH;","Familial isolated dilated cardiomyopathy;Muscular dystrophy, Selcen type",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Parkinson's disease[27182965;28892059];Idiopathic dilated cardiomyopathy[21459883];,0.8192638036809816,0.6521402784940691,0.12764291307752546,0.748158379373849
350,2066,BANF1,603811,614008;,[MIM:614008]Nestor-Guillermo progeria syndrome;,Nestor-Guillermo progeria syndrome,Disease-causing germline mutation(s) in,Acne (severe)[24927181];,0.7916564417177914,0.755801959773079,0.9973897154789872,0.3687845303867403
351,2073,BANK1,610292,152700;,[MIM:152700]Systemic lupus erythematosus;,Systemic lupus erythematosus,Major susceptibility factor in,"Autism spectrum disorder or schizophrenia[28540026];Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)[26974007];Hand grip strength[29691431];Crohn's disease[28067908];Gut microbiota (beta diversity)[27723756];Blood protein levels[28240269];General cognitive ability[29844566;29844566];Inflammatory bowel disease[28067908];Mean platelet volume[27863252];Chronic lymphocytic leukemia[26956414;28165464];Intelligence (MTAG)[29326435;29326435];Systemic lupus erythematosus[18204447;23273568;27399966;26502338;26502338;28714469;28714469;28714469];Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)[23453885];Blood pressure[22763476];",0.4463803680981595,0.11707065497679216,0.1046724092926129,0.003376304481276857
352,2075,BAP1,603089,156240;614327;,"[MIM:156240]Mesothelioma, malignant;[MIM:614327]Tumor predisposition syndrome;",Familial melanoma;BAP1-related tumor predisposition syndrome;Uveal melanoma;Uveal melanoma,Major susceptibility factor in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing somatic mutation(s) in,Parkinson's disease[28892059];Autism spectrum disorder or schizophrenia[28540026;28540026];Schizophrenia[23974872];Bipolar disorder[21926972];,0.685644171779141,0.813821557503868,0.5139650221874185,0.4752915899324739
353,2076,BARD1,601593,,,Hereditary breast and ovarian cancer syndrome,Candidate gene tested in,Neuroblastoma (high-risk)[19412175];Sporadic neuroblastoma[28545128];Neuroblastoma[21124317;22941191];Neuroblastoma (MYCN amplification)[28924153];,0.7125153374233129,0.06034038164002063,0.05194466196815453,0.1111111111111111
354,2090,BAZ1B,605681,,,Williams syndrome,Role in the phenotype of,Urate levels[23263486];Protein C levels[20802025];C-reactive protein levels or HDL-cholesterol levels (pleiotropy)[27286809];Hypertriglyceridemia[23505323];Migraine[27182965];Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)[28448500];Pursuit maintenance gain[29064472];Triglycerides[20864672];Waist-to-hip ratio adjusted for body mass index[28448500];,0.8265030674846626,1.0,0.6666666666666666,0.5972989564149785
355,2094,BBIP1,613605,615995;,[MIM:615995]Bardet-Biedl syndrome 18 [recessive?];,Bardet-Biedl syndrome,Disease-causing germline mutation(s) in,,0.4190184049079755,0.43295513151108816,0.9848603497781259,0.0
356,2099,BBS1,209901,209900;,[MIM:209900]Bardet-Biedl syndrome 1 [recessive?];,Bardet-Biedl syndrome,Disease-causing germline mutation(s) in,Bipolar disorder[21926972];,0.6103067484662577,0.33548220732336254,0.9856434351344296,0.6921424186617556
357,2100,BBS2,606151,615981;616562;,[MIM:616562]Retinitis pigmentosa 74;,Retinitis pigmentosa;Bardet-Biedl syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.623680981595092,0.0,0.357347950926651,0.6106507059545734
358,2101,BBS4,600374,615982;,,Bardet-Biedl syndrome,Disease-causing germline mutation(s) in,Body mass index[28448500];Body mass index in physically active individuals[28448500];Theory of mind score in adolescence (Emotional Triangles Task)[29472613];Waist-to-hip ratio adjusted for BMI[26426971];Body mass index (joint analysis main effects and physical activity interaction)[28448500];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971];,0.6646625766871166,0.07529654461062403,0.14643696162881753,0.30448127685696746
359,2102,BBS5,603650,615983;,[MIM:615983]Bardet-Biedl syndrome 5 [recessive?];,Bardet-Biedl syndrome,Disease-causing germline mutation(s) in,,0.5585276073619632,0.19752449716348633,0.0,0.28698588090853283
360,2103,BBS7,607590,615984;,[MIM:615984]Bardet-Biedl syndrome 7 [recessive?];,Bardet-Biedl syndrome,Disease-causing germline mutation(s) in,,0.6500613496932516,0.44146467251160393,0.6878099712868703,0.4547268262737876
361,2104,BBS9,607968,615986;,[MIM:615986]Bardet-Biedl syndrome 9 [recessive?];,Bardet-Biedl syndrome,Disease-causing germline mutation(s) in,Acute kidney injury in coronary artery bypass surgery (creatinine rise)[26083657];Smooth-surface caries[24556642];Leprosy[27976721];Disease progression in age-related macular degeneration[29346644];Sagittal craniosynostosis[23160099];Asthma[29273806];Intraocular pressure[29785010];,0.6414723926380368,0.37493553378029915,0.18245888801879404,0.7038060159607121
362,2105,BBS10,610148,615987;,[MIM:615987]Bardet-Biedl syndrome 10 [recessive?];,Bardet-Biedl syndrome,Disease-causing germline mutation(s) in,,0.47337423312883437,0.07993811242908716,0.6831114591490473,0.5931553100061387
363,2106,BBS12,610683,615989;,[MIM:615989]Bardet-Biedl syndrome 12 [recessive?];,Bardet-Biedl syndrome,Disease-causing germline mutation(s) in,Itch intensity from mosquito bite adjusted by bite size[28199695;28199695;28199695;28199695];Mosquito bite size[28199695];Itch intensity from mosquito bite[28199695];Night sleep phenotypes[27126917];,0.4538650306748466,0.17276946879834967,0.33829287392325763,0.09806629834254144
